,SHY,IEF,TLT,TIP,LQD,HYG,MBB,BOND,AGG,MOVE,JAAA,BKLN,CMBS,SGOV,BIL,USFR
2020-12-09,75.23782348632812,103.36392974853516,131.5032501220703,102.76905059814453,111.16454315185547,64.35696411132812,93.12752532958984,89.84355926513672,99.62293243408203,48.47999954223633,39.62049102783203,15.585193634033203,46.56895446777344,84.37093353271484,77.32466888427734,42.11052322387695
2020-12-10,75.2552490234375,103.59724426269531,132.66876220703125,103.00455474853516,111.71851348876953,64.4758071899414,93.09363555908203,90.0275650024414,99.86861419677734,47.150001525878906,39.699398040771484,15.620288848876953,46.77253341674805,84.37516021728516,77.32466888427734,42.11052322387695
2020-12-11,75.2988052368164,103.80458068847656,133.13839721679688,102.99642944335938,111.83255004882812,64.408935546875,93.11058044433594,90.1315689086914,99.97868347167969,47.52000045776367,39.69545364379883,15.606253623962402,46.81495666503906,84.37516021728516,77.33309173583984,42.127296447753906
2020-12-14,75.29010772705078,103.74411010742188,132.76947021484375,102.99642944335938,111.75106811523438,64.42384338378906,93.11058044433594,90.26754760742188,99.91940307617188,49.220001220703125,39.71913146972656,15.592206954956055,46.797977447509766,84.37516021728516,77.32466888427734,42.11052322387695
2020-12-15,75.29010772705078,103.64042663574219,132.3249969482422,103.18315887451172,111.97103881835938,64.62444305419922,93.16141510009766,90.24353790283203,99.97868347167969,48.13999938964844,39.71913146972656,15.613264083862305,46.899776458740234,84.37516021728516,77.32466888427734,42.11052322387695
2020-12-16,75.29010772705078,103.55400085449219,131.97274780273438,103.17510223388672,111.88139343261719,64.52787017822266,93.15291595458984,90.2515869140625,99.93638610839844,46.959999084472656,39.70335006713867,15.585193634033203,46.92522430419922,84.38358306884766,77.33309173583984,42.127296447753906
2020-12-17,75.29183197021484,103.47880554199219,131.62359619140625,103.234375,112.04468536376953,64.62409973144531,93.17833709716797,90.32354736328125,99.9321517944336,44.150001525878906,39.73964309692383,15.585193634033203,46.92607879638672,84.38021850585938,77.33309173583984,42.11052322387695
2020-12-18,75.28312683105469,103.39236450195312,131.22906494140625,103.18566131591797,111.96308135986328,64.67633819580078,93.22066497802734,90.2835693359375,99.88123321533203,44.63999938964844,39.73886489868164,15.620288848876953,46.91755676269531,84.38021850585938,77.33309173583984,42.127296447753906
2020-12-21,75.28312683105469,103.46150207519531,131.74945068359375,103.16941833496094,111.74267578125,64.44503021240234,93.25453186035156,90.32354736328125,99.88123321533203,46.65999984741211,39.790184020996094,15.588603973388672,46.92607879638672,84.38021850585938,77.33309173583984,42.11220169067383
2020-12-22,75.28312683105469,103.63439178466797,132.42945861816406,103.2668685913086,112.0528335571289,64.527099609375,93.2121810913086,90.4515380859375,100.02539825439453,43.56999969482422,39.71517562866211,15.567483901977539,46.91755676269531,84.38021850585938,77.33309173583984,42.12898254394531
2020-12-23,75.30055236816406,103.41831970214844,131.5145263671875,103.31559753417969,112.07733917236328,64.818115234375,93.20372009277344,90.31554412841797,99.95755004882812,42.7400016784668,39.73098373413086,15.623809814453125,46.943058013916016,84.3759994506836,77.32466888427734,42.11220169067383
2020-12-24,75.28312683105469,103.56525421142578,132.034912109375,103.35621643066406,112.46102905273438,64.95242309570312,93.2121810913086,90.44354248046875,100.05084228515625,42.11000061035156,39.73886489868164,15.6519775390625,46.9345817565918,84.3759994506836,77.33309173583984,42.12898254394531
